type,side,price,sl,tp,profit
OPEN,SELL,1.16116,1.1621599999999999,1.15916,
REVERSE,,1.16116,,,-0.0
OPEN,BUY,1.16116,1.16016,1.16316,
REVERSE,,1.16115,,,-0.10000000000065512
OPEN,SELL,1.16115,1.1621499999999998,1.15915,
REVERSE,,1.16115,,,-0.0
OPEN,BUY,1.16115,1.16015,1.16315,
REVERSE,,1.16107,,,-0.7999999999985796
OPEN,SELL,1.16107,1.16207,1.15907,
REVERSE,,1.1611,,,-0.2999999999997449
OPEN,BUY,1.1611,1.1601000000000001,1.1631,
REVERSE,,1.16127,,,1.7000000000000348
OPEN,SELL,1.16127,1.16227,1.15927,
REVERSE,,1.16124,,,0.2999999999997449
OPEN,BUY,1.16124,1.1602400000000002,1.16324,
REVERSE,,1.16121,,,-0.2999999999997449
OPEN,SELL,1.16121,1.16221,1.15921,
REVERSE,,1.161,,,2.100000000000435
OPEN,BUY,1.161,1.1600000000000001,1.163,
REVERSE,,1.16103,,,0.2999999999997449
OPEN,SELL,1.16103,1.16203,1.15903,
REVERSE,,1.16109,,,-0.5999999999994898
OPEN,BUY,1.16109,1.16009,1.16309,
REVERSE,,1.16107,,,-0.1999999999990898
OPEN,SELL,1.16107,1.16207,1.15907,
REVERSE,,1.16104,,,0.2999999999997449
OPEN,BUY,1.16104,1.1600400000000002,1.16304,
REVERSE,,1.16104,,,0.0
OPEN,SELL,1.16104,1.16204,1.15904,
REVERSE,,1.16087,,,1.7000000000000348
OPEN,BUY,1.16087,1.1598700000000002,1.16287,
REVERSE,,1.16086,,,-0.10000000000065512
OPEN,SELL,1.16086,1.16186,1.15886,
REVERSE,,1.16096,,,-0.9999999999998899
OPEN,BUY,1.16096,1.15996,1.16296,
REVERSE,,1.16092,,,-0.40000000000040004
OPEN,SELL,1.16092,1.1619199999999998,1.15892,
REVERSE,,1.1608,,,1.1999999999989797
OPEN,BUY,1.1608,1.1598000000000002,1.1628,
REVERSE,,1.16074,,,-0.5999999999994898
OPEN,SELL,1.16074,1.16174,1.15874,
REVERSE,,1.16088,,,-1.3999999999980695
OPEN,BUY,1.16088,1.15988,1.16288,
REVERSE,,1.1608,,,-0.7999999999985796
OPEN,SELL,1.1608,1.1618,1.1588,
REVERSE,,1.16083,,,-0.2999999999997449
OPEN,BUY,1.16083,1.1598300000000001,1.16283,
REVERSE,,1.16083,,,0.0
OPEN,SELL,1.16083,1.16183,1.15883,
REVERSE,,1.16079,,,0.40000000000040004
OPEN,BUY,1.16079,1.15979,1.16279,
REVERSE,,1.1608,,,0.10000000000065512
OPEN,SELL,1.1608,1.1618,1.1588,
REVERSE,,1.16079,,,0.10000000000065512
OPEN,BUY,1.16079,1.15979,1.16279,
REVERSE,,1.16079,,,0.0
OPEN,SELL,1.16079,1.1617899999999999,1.15879,
REVERSE,,1.16079,,,-0.0
OPEN,BUY,1.16079,1.15979,1.16279,
REVERSE,,1.16075,,,-0.40000000000040004
OPEN,SELL,1.16075,1.1617499999999998,1.15875,
REVERSE,,1.16072,,,0.2999999999997449
OPEN,BUY,1.16072,1.15972,1.16272,
REVERSE,,1.16077,,,0.5000000000010552
OPEN,SELL,1.16077,1.16177,1.15877,
REVERSE,,1.16068,,,0.9000000000014552
OPEN,BUY,1.16068,1.15968,1.16268,
REVERSE,,1.16072,,,0.40000000000040004
OPEN,SELL,1.16072,1.1617199999999999,1.15872,
REVERSE,,1.16071,,,0.10000000000065512
OPEN,BUY,1.16071,1.15971,1.16271,
REVERSE,,1.16072,,,0.10000000000065512
OPEN,SELL,1.16072,1.1617199999999999,1.15872,
REVERSE,,1.1607,,,0.1999999999990898
OPEN,BUY,1.1607,1.1597000000000002,1.1627,
REVERSE,,1.16073,,,0.2999999999997449
OPEN,SELL,1.16073,1.16173,1.15873,
REVERSE,,1.16074,,,-0.10000000000065512
OPEN,BUY,1.16074,1.1597400000000002,1.16274,
REVERSE,,1.16069,,,-0.5000000000010552
OPEN,SELL,1.16069,1.16169,1.15869,
REVERSE,,1.16046,,,2.2999999999995246
OPEN,BUY,1.16046,1.1594600000000002,1.16246,
REVERSE,,1.1605,,,0.40000000000040004
OPEN,SELL,1.1605,1.1615,1.1585,
REVERSE,,1.16045,,,0.5000000000010552
OPEN,BUY,1.16045,1.15945,1.16245,
REVERSE,,1.16045,,,0.0
OPEN,SELL,1.16045,1.1614499999999999,1.15845,
REVERSE,,1.16021,,,2.4000000000001798
OPEN,BUY,1.16021,1.15921,1.16221,
REVERSE,,1.16018,,,-0.2999999999997449
OPEN,SELL,1.16018,1.1611799999999999,1.15818,
REVERSE,,1.16013,,,0.4999999999988347
OPEN,BUY,1.16013,1.1591300000000002,1.16213,
REVERSE,,1.16012,,,-0.10000000000065512
OPEN,SELL,1.16012,1.16112,1.15812,
REVERSE,,1.16002,,,0.9999999999998899
OPEN,BUY,1.16002,1.1590200000000002,1.16202,
REVERSE,,1.16,,,-0.20000000000131024
OPEN,SELL,1.16,1.1609999999999998,1.158,
REVERSE,,1.15991,,,0.8999999999992347
OPEN,BUY,1.15991,1.15891,1.16191,
REVERSE,,1.15994,,,0.2999999999997449
OPEN,SELL,1.15994,1.1609399999999999,1.15794,
REVERSE,,1.15997,,,-0.2999999999997449
OPEN,BUY,1.15997,1.15897,1.16197,
REVERSE,,1.16019,,,2.20000000000109
OPEN,SELL,1.16019,1.16119,1.15819,
REVERSE,,1.16013,,,0.5999999999994898
OPEN,BUY,1.16013,1.1591300000000002,1.16213,
REVERSE,,1.16013,,,0.0
OPEN,SELL,1.16013,1.16113,1.15813,
REVERSE,,1.16022,,,-0.8999999999992347
OPEN,BUY,1.16022,1.1592200000000001,1.16222,
REVERSE,,1.16017,,,-0.5000000000010552
OPEN,SELL,1.16017,1.1611699999999998,1.15817,
REVERSE,,1.16014,,,0.2999999999997449
OPEN,BUY,1.16014,1.15914,1.16214,
REVERSE,,1.16012,,,-0.1999999999990898
OPEN,SELL,1.16012,1.16112,1.15812,
REVERSE,,1.16018,,,-0.5999999999994898
