type,side,price,sl,tp,profit
TRAIL_SL,,1.16549,,,-40.99999999997994
OPEN,SELL,1.16551,1.16651,1.16351,
TRAIL_SL,,1.1663899999999998,,,-87.99999999997698
OPEN,BUY,1.16534,1.1643400000000002,1.16734,
TRAIL_SL,,1.1644100000000002,,,-92.99999999998754
OPEN,BUY,1.16425,1.1632500000000001,1.16625,
TRAIL_SL,,1.16412,,,-12.999999999996348
OPEN,BUY,1.16106,1.16006,1.16306,
TRAIL_SL,,1.1608100000000001,,,-24.999999999986144
OPEN,BUY,1.16051,1.15951,1.16251,
SL,,1.15951,,,-99.99999999998899
OPEN,BUY,1.15896,1.15796,1.16096,
TRAIL_SL,,1.15847,,,-48.99999999998794
OPEN,BUY,1.15905,1.15805,1.16105,
TRAIL_SL,,1.15896,,,-8.999999999992347
OPEN,BUY,1.1597,1.1587,1.1617,
TRAIL_SL,,1.15931,,,-38.99999999998904
OPEN,BUY,1.15872,1.15772,1.16072,
TRAIL_SL,,1.1593300000000002,,,61.00000000002215
OPEN,BUY,1.15871,1.15771,1.16071,
TRAIL_SL,,1.15815,,,-55.99999999998939
OPEN,SELL,1.15956,1.1605599999999998,1.15756,
TRAIL_SL,,1.15997,,,-41.000000000002146
OPEN,SELL,1.16051,1.1615099999999998,1.15851,
REVERSE,,1.15973,,,78.00000000000028
OPEN,BUY,1.15973,1.15873,1.16173,
REVERSE,,1.16088,,,114.99999999999844
OPEN,SELL,1.16088,1.1618799999999998,1.15888,
TRAIL_SL,,1.1617799999999998,,,-89.99999999999008
OPEN,SELL,1.1618,1.1627999999999998,1.1598,
REVERSE,,1.16126,,,53.999999999998494
OPEN,BUY,1.16126,1.16026,1.16326,
REVERSE,,1.16246,,,120.00000000000898
OPEN,SELL,1.16246,1.16346,1.16046,
TRAIL_SL,,1.16339,,,-92.99999999998754
OPEN,SELL,1.16333,1.1643299999999999,1.16133,
REVERSE,,1.16191,,,141.99999999999767
OPEN,BUY,1.16191,1.16091,1.16391,
TRAIL_SL,,1.16154,,,-36.999999999998145
OPEN,BUY,1.1615199999999999,1.16052,1.1635199999999999,
TRAIL_SL,,1.1613000000000002,,,-21.99999999996649
OPEN,BUY,1.16103,1.1600300000000001,1.16303,
REVERSE,,1.16166,,,62.99999999999084
OPEN,SELL,1.16166,1.1626599999999998,1.15966,
TRAIL_SL,,1.16241,,,-75.00000000000284
OPEN,SELL,1.16233,1.16333,1.16033,
REVERSE,,1.16067,,,165.9999999999995
OPEN,BUY,1.16067,1.1596700000000002,1.16267,
TRAIL_SL,,1.16013,,,-53.999999999998494
OPEN,BUY,1.16014,1.15914,1.16214,
TRAIL_SL,,1.15927,,,-86.99999999999264
OPEN,BUY,1.1592,1.1582000000000001,1.1612,
TRAIL_SL,,1.1582400000000002,,,-95.999999999985
OPEN,BUY,1.15816,1.1571600000000002,1.16016,
TRAIL_SL,,1.15731,,,-85.00000000000173
OPEN,BUY,1.15741,1.1564100000000002,1.15941,
TRAIL_SL,,1.15659,,,-82.00000000000429
OPEN,BUY,1.15684,1.1558400000000002,1.15884,
TRAIL_SL,,1.15596,,,-87.99999999999919
OPEN,BUY,1.15611,1.15511,1.15811,
TRAIL_SL,,1.1552000000000002,,,-90.99999999997443
OPEN,BUY,1.15516,1.15416,1.15716,
TP,,1.15716,,,200.00000000000017
OPEN,BUY,1.1565,1.1555000000000002,1.1585,
REVERSE,,1.1571,,,59.99999999999339
OPEN,SELL,1.1571,1.1581,1.1551,
REVERSE,,1.1562999999999999,,,80.00000000001339
OPEN,BUY,1.1562999999999999,1.1553,1.1582999999999999,
REVERSE,,1.15683,,,53.00000000001415
OPEN,SELL,1.15683,1.15783,1.15483,
REVERSE,,1.15642,,,41.000000000002146
OPEN,BUY,1.15642,1.1554200000000001,1.15842,
