type,side,price,sl,tp,profit
REVERSE,,1.16404,,,8.000000000008
OPEN,SELL,1.16404,1.1650399999999999,1.16204,
TRAIL_SL,,1.1650299999999998,,,-98.99999999998244
OPEN,BUY,1.16443,1.1634300000000002,1.16643,
REVERSE,,1.16428,,,-15.00000000000945
OPEN,SELL,1.16428,1.1652799999999999,1.16228,
REVERSE,,1.16388,,,39.999999999995595
OPEN,BUY,1.16388,1.1628800000000001,1.16588,
TRAIL_SL,,1.1631600000000002,,,-71.99999999998319
OPEN,BUY,1.16347,1.1624700000000001,1.16547,
REVERSE,,1.16374,,,26.999999999999247
OPEN,SELL,1.16374,1.1647399999999999,1.16174,
REVERSE,,1.16345,,,28.999999999990145
OPEN,BUY,1.16345,1.1624500000000002,1.16545,
REVERSE,,1.16382,,,36.999999999998145
OPEN,SELL,1.16382,1.16482,1.16182,
REVERSE,,1.16371,,,11.00000000000545
OPEN,BUY,1.16371,1.1627100000000001,1.16571,
REVERSE,,1.16383,,,11.999999999989797
OPEN,SELL,1.16383,1.1648299999999998,1.16183,
REVERSE,,1.16357,,,25.999999999992696
OPEN,BUY,1.16357,1.16257,1.16557,
REVERSE,,1.16376,,,18.999999999991246
OPEN,SELL,1.16376,1.1647599999999998,1.16176,
REVERSE,,1.16353,,,22.999999999995246
OPEN,BUY,1.16353,1.16253,1.16553,
REVERSE,,1.16372,,,19.00000000001345
OPEN,SELL,1.16372,1.16472,1.16172,
TRAIL_SL,,1.16468,,,-95.999999999985
OPEN,SELL,1.16471,1.1657099999999998,1.16271,
REVERSE,,1.16439,,,31.999999999987594
OPEN,BUY,1.16439,1.1633900000000001,1.16639,
REVERSE,,1.16463,,,24.000000000001798
OPEN,SELL,1.16463,1.16563,1.16263,
REVERSE,,1.16428,,,35.00000000000725
OPEN,BUY,1.16428,1.16328,1.16628,
REVERSE,,1.16444,,,15.999999999993797
OPEN,SELL,1.16444,1.1654399999999998,1.16244,
REVERSE,,1.16446,,,-2.0000000000131024
OPEN,BUY,1.16446,1.1634600000000002,1.16646,
REVERSE,,1.1646,,,14.000000000002899
OPEN,SELL,1.1646,1.1656,1.1626,
TRAIL_SL,,1.1655,,,-89.99999999999008
OPEN,SELL,1.16536,1.1663599999999998,1.16336,
REVERSE,,1.1651,,,25.999999999992696
OPEN,BUY,1.1651,1.1641000000000001,1.1671,
REVERSE,,1.166,,,89.99999999999008
OPEN,SELL,1.166,1.1669999999999998,1.164,
REVERSE,,1.16593,,,7.0000000000014495
OPEN,BUY,1.16593,1.16493,1.16793,
REVERSE,,1.16559,,,-34.000000000000696
OPEN,SELL,1.16559,1.1665899999999998,1.16359,
TRAIL_SL,,1.1664999999999999,,,-90.99999999999665
OPEN,SELL,1.16641,1.1674099999999998,1.16441,
REVERSE,,1.1665,,,-9.000000000014552
OPEN,BUY,1.1665,1.1655000000000002,1.1685,
REVERSE,,1.16657,,,7.0000000000014495
OPEN,SELL,1.16657,1.16757,1.16457,
REVERSE,,1.16602,,,55.000000000005045
OPEN,BUY,1.16602,1.1650200000000002,1.16802,
REVERSE,,1.16592,,,-9.999999999998899
OPEN,SELL,1.16592,1.16692,1.16392,
REVERSE,,1.16519,,,73.00000000001194
OPEN,BUY,1.16519,1.16419,1.16719,
REVERSE,,1.16567,,,48.000000000003595
OPEN,SELL,1.16567,1.1666699999999999,1.16367,
REVERSE,,1.16504,,,62.99999999999084
OPEN,BUY,1.16504,1.1640400000000002,1.16704,
REVERSE,,1.16549,,,44.99999999998394
OPEN,SELL,1.16549,1.1664899999999998,1.16349,
TRAIL_SL,,1.16627,,,-78.00000000000028
OPEN,SELL,1.16636,1.16736,1.16436,
REVERSE,,1.16597,,,39.00000000001125
OPEN,BUY,1.16597,1.16497,1.16797,
REVERSE,,1.16573,,,-24.000000000001798
OPEN,SELL,1.16573,1.1667299999999998,1.16373,
REVERSE,,1.16528,,,44.99999999998394
OPEN,BUY,1.16528,1.1642800000000002,1.16728,
TRAIL_SL,,1.1646500000000002,,,-62.99999999999084
OPEN,BUY,1.16456,1.1635600000000001,1.16656,
TRAIL_SL,,1.1637300000000002,,,-82.99999999998863
OPEN,BUY,1.16381,1.1628100000000001,1.16581,
TRAIL_SL,,1.1630500000000001,,,-75.99999999998718
OPEN,BUY,1.16304,1.1620400000000002,1.16504,
REVERSE,,1.16343,,,38.99999999998904
OPEN,SELL,1.16343,1.1644299999999999,1.16143,
TRAIL_SL,,1.1640899999999998,,,-65.99999999998829
OPEN,SELL,1.16414,1.1651399999999998,1.16214,
SL,,1.1651399999999998,,,-99.99999999998899
OPEN,SELL,1.16538,1.16638,1.16338,
TRAIL_SL,,1.16627,,,-88.99999999998354
OPEN,SELL,1.16611,1.1671099999999999,1.16411,
TRAIL_SL,,1.16669,,,-58.000000000002494
OPEN,SELL,1.16666,1.16766,1.16466,
REVERSE,,1.16582,,,83.9999999999952
