type,side,price,sl,tp,profit
REVERSE,,1.16283,,,-1.0000000000065512
OPEN,BUY,1.16283,1.1618300000000001,1.16483,
REVERSE,,1.16269,,,-14.000000000002899
OPEN,SELL,1.16269,1.16369,1.16069,
REVERSE,,1.16273,,,-4.000000000004
OPEN,BUY,1.16273,1.1617300000000002,1.16473,
REVERSE,,1.16266,,,-7.0000000000014495
OPEN,SELL,1.16266,1.16366,1.16066,
REVERSE,,1.16262,,,4.000000000004
OPEN,BUY,1.16262,1.16162,1.16462,
REVERSE,,1.16262,,,0.0
OPEN,SELL,1.16262,1.1636199999999999,1.16062,
REVERSE,,1.1629,,,-28.000000000005798
OPEN,BUY,1.1629,1.1619000000000002,1.1649,
REVERSE,,1.16323,,,32.999999999994145
OPEN,SELL,1.16323,1.1642299999999999,1.16123,
TRAIL_SL,,1.16298,,,25.00000000000835
OPEN,BUY,1.16303,1.1620300000000001,1.16503,
REVERSE,,1.16286,,,-17.000000000000348
OPEN,SELL,1.16286,1.16386,1.16086,
REVERSE,,1.16286,,,-0.0
OPEN,BUY,1.16286,1.1618600000000001,1.16486,
REVERSE,,1.1629,,,4.000000000004
OPEN,SELL,1.1629,1.1639,1.1609,
REVERSE,,1.16273,,,17.000000000000348
OPEN,BUY,1.16273,1.1617300000000002,1.16473,
REVERSE,,1.16281,,,7.999999999985796
OPEN,SELL,1.16281,1.1638099999999998,1.16081,
REVERSE,,1.1629,,,-9.000000000014552
OPEN,BUY,1.1629,1.1619000000000002,1.1649,
REVERSE,,1.16283,,,-7.0000000000014495
OPEN,SELL,1.16283,1.16383,1.16083,
REVERSE,,1.16287,,,-4.000000000004
OPEN,BUY,1.16287,1.1618700000000002,1.16487,
REVERSE,,1.16295,,,7.999999999985796
OPEN,SELL,1.16295,1.1639499999999998,1.16095,
REVERSE,,1.16306,,,-11.00000000000545
OPEN,BUY,1.16306,1.16206,1.16506,
REVERSE,,1.16292,,,-14.000000000002899
OPEN,SELL,1.16292,1.1639199999999998,1.16092,
REVERSE,,1.16316,,,-24.000000000001798
OPEN,BUY,1.16316,1.16216,1.16516,
REVERSE,,1.16415,,,99.00000000000463
OPEN,SELL,1.16415,1.16515,1.16215,
REVERSE,,1.16311,,,103.99999999999298
OPEN,BUY,1.16311,1.1621100000000002,1.16511,
REVERSE,,1.16303,,,-8.000000000008
OPEN,SELL,1.16303,1.16403,1.16103,
REVERSE,,1.1632,,,-17.000000000000348
OPEN,BUY,1.1632,1.1622000000000001,1.1652,
REVERSE,,1.16305,,,-15.00000000000945
OPEN,SELL,1.16305,1.1640499999999998,1.16105,
REVERSE,,1.16237,,,68.00000000000139
OPEN,BUY,1.16237,1.16137,1.16437,
REVERSE,,1.16223,,,-13.999999999980695
OPEN,SELL,1.16223,1.16323,1.16023,
REVERSE,,1.16234,,,-10.999999999983245
OPEN,BUY,1.16234,1.16134,1.16434,
REVERSE,,1.16281,,,46.999999999997044
OPEN,SELL,1.16281,1.1638099999999998,1.16081,
REVERSE,,1.16295,,,-14.000000000002899
OPEN,BUY,1.16295,1.16195,1.16495,
REVERSE,,1.16267,,,-27.999999999983594
OPEN,SELL,1.16267,1.16367,1.16067,
REVERSE,,1.16265,,,2.0000000000131024
OPEN,BUY,1.16265,1.16165,1.16465,
REVERSE,,1.16232,,,-32.999999999994145
OPEN,SELL,1.16232,1.16332,1.16032,
REVERSE,,1.16242,,,-9.999999999998899
OPEN,BUY,1.16242,1.1614200000000001,1.16442,
REVERSE,,1.16288,,,45.99999999999049
OPEN,SELL,1.16288,1.1638799999999998,1.16088,
REVERSE,,1.16279,,,8.999999999992347
OPEN,BUY,1.16279,1.16179,1.16479,
REVERSE,,1.16284,,,5.000000000010552
OPEN,SELL,1.16284,1.16384,1.16084,
REVERSE,,1.16293,,,-8.999999999992347
OPEN,BUY,1.16293,1.1619300000000001,1.16493,
REVERSE,,1.16383,,,89.99999999999008
OPEN,SELL,1.16383,1.1648299999999998,1.16183,
REVERSE,,1.16428,,,-45.000000000006146
OPEN,BUY,1.16428,1.16328,1.16628,
REVERSE,,1.16408,,,-19.999999999997797
OPEN,SELL,1.16408,1.16508,1.16208,
REVERSE,,1.16424,,,-15.999999999993797
OPEN,BUY,1.16424,1.16324,1.16624,
REVERSE,,1.1639599999999999,,,-28.000000000005798
OPEN,SELL,1.1639599999999999,1.1649599999999998,1.1619599999999999,
REVERSE,,1.1642000000000001,,,-24.000000000024002
OPEN,BUY,1.1642000000000001,1.1632000000000002,1.1662000000000001,
REVERSE,,1.16443,,,22.999999999995246
OPEN,SELL,1.16443,1.16543,1.16243,
REVERSE,,1.16426,,,17.000000000000348
OPEN,BUY,1.16426,1.1632600000000002,1.16626,
REVERSE,,1.16384,,,-42.0000000000087
OPEN,SELL,1.16384,1.1648399999999999,1.16184,
REVERSE,,1.16388,,,-4.000000000004
OPEN,BUY,1.16388,1.1628800000000001,1.16588,
REVERSE,,1.16369,,,-19.00000000001345
OPEN,SELL,1.16369,1.1646899999999998,1.16169,
REVERSE,,1.16376,,,-7.0000000000014495
OPEN,BUY,1.16376,1.16276,1.16576,
REVERSE,,1.16337,,,-38.99999999998904
OPEN,SELL,1.16337,1.16437,1.16137,
REVERSE,,1.16382,,,-45.000000000006146
OPEN,BUY,1.16382,1.1628200000000002,1.16582,
REVERSE,,1.16371,,,-11.00000000000545
OPEN,SELL,1.16371,1.16471,1.16171,
REVERSE,,1.16357,,,14.000000000002899
OPEN,BUY,1.16357,1.16257,1.16557,
REVERSE,,1.16385,,,28.000000000005798
OPEN,SELL,1.16385,1.16485,1.16185,
REVERSE,,1.16382,,,2.999999999997449
OPEN,BUY,1.16382,1.1628200000000002,1.16582,
REVERSE,,1.16353,,,-29.00000000001235
OPEN,SELL,1.16353,1.1645299999999998,1.16153,
REVERSE,,1.16375,,,-22.0000000000109
OPEN,BUY,1.16375,1.1627500000000002,1.16575,
REVERSE,,1.1636,,,-15.00000000000945
OPEN,SELL,1.1636,1.1645999999999999,1.1616,
